rank,freq,Infinitiv,Unreg,Trans,"Präsens_ich","Präsens_ich*","Präsens_du","Präsens_du*","Präsens_er, sie, es","Präteritum_ich","Präteritum_ich*","Partizip II","Partizip II*","Konjunktiv II_ich","Konjunktiv II_ich*","Imperativ Singular","Imperativ Singular*","Imperativ Singular 2","Imperativ Plural","Imperativ Plural*",Hilfsverb,Hilfsverb*,Bild,"Bild 1","Bild 2","Bild 3","Bild 4"
3,3796784,sein,"","",bin,"",bist,"",ist,war,"",gewesen,"","wäre","",sei,"","",seid,"",sein,"","","","","",""
8,1618550,haben,"","",habe,"",hast,"",hat,hatte,"",gehabt,"","hätte","",habe,hab,"",habt,"",haben,"","","","","",""
10,1379496,einen,"","",eine,"",einst,"",eint,einte,"",geeint,"",einte,"",eine,ein,"",eint,"",haben,"","","","","",""
12,948246,werden,"","",werde,"",wirst,"",wird,wurde,ward,geworden,worden,"würde","",werde,"","",werdet,"",sein,"","","","","",""
15,713918,"können","","",kann,"",kannst,"",kann,konnte,"",gekonnt,"","könnte","","","","","","",haben,"","","","","",""
15,713918,"können","","",kann,"",kannst,"",kann,konnte,"",gekonnt,"","könnte","","","","","","",haben,"","","","","",""
20,556692,meinen,"","",meine,"",meinst,"",meint,meinte,"",gemeint,"",meinte,"",meine,"","",meint,"",haben,"","","","","",""
23,513384,wollen,"","",will,"",willst,"",will,wollte,"",gewollt,wollen,wollte,"","","","","","",haben,"","","","","",""
32,407185,gehen,X,"",gehe,"",gehst,"",geht,ging,"",gegangen,"",ginge,"",geh,gehe,"",geht,gehet,sein,"","Blender3D NormalWalkCycle.gif|mini|1|Animation einer ''gehenden'' Person","","","",""
36,388020,sagen,"","",sage,"",sagst,"",sagt,sagte,"",gesagt,"",sagte,"",sag,sage,"",sagt,"",haben,"","","","","",""
37,384113,sehen,"","",sehe,"",siehst,"",sieht,sah,"",gesehen,sehen,"sähe","",siehe,sieh,"",seht,"",haben,"","","","","",""
39,376830,machen,"","",mache,"",machst,"",macht,machte,"",gemacht,"",machte,"",mache,mach,"",macht,"",haben,"","","","","",""
43,330438,tun,"","",tu,tue,tust,"",tut,tat,"",getan,"","täte","",tu,tue,"",tut,"",haben,"","","","","",""
43,330438,tun,"",X,tue,tu,tust,"",tut,tat,"",getan,"","täte","",tue,tu,"",tut,"",haben,"","","","","",""
44,317788,kommen,"","",komme,"",kommst,"",kommt,kam,"",gekommen,"","käme","",komm,komme,"",kommt,"",sein,"","","","","",""
45,280421,geben,"","",gebe,"",gibst,"",gibt,gab,"",gegeben,"","gäbe","",gib,"","",gebt,"",haben,"","","","","",""
59,217839,wissen,"","","weiß","","weißt","","weiß",wusste,"",gewusst,"","wüsste","",wisse,"","",wisset,wisst,haben,"","","","","",""
64,189101,sollen,"","",soll,"",sollst,"",soll,sollte,"",gesollt,sollen,sollte,"","","","","","",haben,"","","","","",""
69,181538,denken,"","",denke,"",denkst,"",denkt,dachte,"",gedacht,"","dächte","",denk,denke,"",denkt,"",haben,"","","","","",""
81,158838,"hören","","","höre","","hörst","","hört","hörte","","gehört","hören","hörte","","hör","höre","","hört","",haben,"","His Master's Voice.jpg|mini|1|Er ''hört'' die Stimme seines Herrn.","","","",""
85,143704,finden,"","",finde,"",findest,"",findet,fand,"",gefunden,"","fände","",finde,"","",findet,"",haben,"","","","","",""
88,141488,glauben,"","",glaube,"",glaubst,"",glaubt,glaubte,"",geglaubt,"",glaubte,"",glaub,glaube,"",glaubt,"",haben,"","","","","",""
92,138619,leben,"","",lebe,"",lebst,"",lebt,lebte,"",gelebt,"",lebte,"",lebe,leb,"",lebt,"",haben,"","","","","",""
93,136863,"mögen","","",mag,"",magst,"",mag,mochte,"",gemocht,"","möchte","","","","","","",haben,"","","","","",""
93,136863,"mögen","","",mag,"",magst,"",mag,mochte,"",gemocht,"mögen","möchte","","","","","","",haben,"","","","","",""
97,125268,nehmen,"","",nehme,"",nimmst,"",nimmt,nahm,"",genommen,"","nähme","",nimm,"","",nehmt,"",haben,"","","","","",""
98,124528,"müssen","","",muss,"",musst,"",muss,musste,"",gemusst,"","müsste","","","","","","",haben,"","","","","",""
105,117720,lassen,"","",lasse,"","lässt","","lässt","ließ","",gelassen,lassen,"ließe","",lass,lasse,"",lasst,lasset,haben,"","","","","",""
111,106835,warten,"","",warte,"",wartest,"",wartet,wartete,"",gewartet,"",wartete,"",warte,"","",wartet,"",haben,"","","","","",""
115,100896,verstehen,"","",verstehe,"",verstehst,"",versteht,verstand,"",verstanden,"","verstände","verstünde",verstehe,"","",versteht,"",haben,"","","","","",""
115,100896,verstehen,"",X,verstehe,"",verstehst,"",versteht,verstand,"",verstanden,"","verstände","verstünde",verstehe,"","",versteht,"",haben,"","","","","",""
117,97391,bringen,"","",bringe,"",bringst,"",bringt,brachte,"",gebracht,"","brächte","",bring,bringe,"",bringt,"",haben,"","","","","",""
123,91927,sichern,"","",sichere,"",sicherst,"",sichert,sicherte,"",gesichert,"",sicherte,"",sichere,"","",sichert,"",haben,"","","","","",""
124,89964,fragen,"","",frage,"",fragst,"frägst",fragt,fragte,frug,gefragt,"",fragte,"früge",frag,frage,"",fragt,"",haben,"","","","","",""
125,89813,kennen,"","",kenne,"",kennst,"",kennt,kannte,"",gekannt,"",kennte,"",kenne,kenn,"",kennt,"",haben,"","","","","",""
128,87425,helfen,"","",helfe,"",hilfst,"",hilft,half,"",geholfen,"","hülfe","hälfe",hilf,"","",helft,"",haben,"","","","","",""
129,87137,reden,"","",rede,"",redest,"",redet,redete,"",geredet,"",redete,"",red,rede,"",redet,"",haben,"","","","","",""
133,85406,stehen,X,"",stehe,"",stehst,"",steht,stand,"",gestanden,"","stünde","stände",stehe,steh,"",steht,"",haben,sein,"","","","",""
134,83919,bleiben,"","",bleibe,"",bleibst,"",bleibt,blieb,"",geblieben,"",bliebe,"",bleibe,bleib,"",bleibt,"",sein,"","","","","",""
137,82184,brauchen,"","",brauche,"",brauchst,"",braucht,brauchte,"",gebraucht,"",brauchte,"bräuchte",brauche,brauch,"",braucht,"",haben,"","","","","",""
142,76116,sprechen,"","",spreche,"",sprichst,"",spricht,sprach,"",gesprochen,"","spräche","",sprich,"","",sprecht,"",haben,"","","","","",""
144,73100,passieren,"","",passiere,"",passierst,"",passiert,passierte,"",passiert,"",passierte,"",passiere,passier,"",passiert,"",haben,sein,"","","","",""
150,69100,"dürfen",X,"",darf,"",darfst,"",darf,durfte,"",gedurft,"","dürfte","","","","","","",haben,"","","","","",""
151,67816,halten,"","",halte,"","hältst","","hält",hielt,"",gehalten,"",hielte,"",halt,halte,"",haltet,"",haben,"","Keller saves PK attempt by Henry.ogv|thumb|10|Der [[Torwart]] hat den [[Elfmeter]] ''gehalten.''","","","",""
159,63086,"töten","","","töte","","tötest","","tötet","tötete","","getötet","","tötete","","töte","","","tötet","",haben,"","","","","",""
162,60962,sterben,"","",sterbe,"",stirbst,"",stirbt,starb,"",gestorben,"","stürbe","",stirb,"","",sterbt,"",sein,"","","","","",""
169,59107,fahren,"","",fahre,"","fährst","","fährt",fuhr,"",gefahren,"","führe","",fahr,fahre,"",fahrt,"",sein,haben,"","","","",""
171,58826,bekommen,"","",bekomme,"",bekommst,"",bekommt,bekam,"",bekommen,"","bekäme","",bekomm,bekomme,"",bekommt,"",haben,sein,"","","","",""
