rank,freq,Infinitiv,Unreg,Trans,"Präsens_ich","Präsens_du","Präsens_er, sie, es","Präteritum_ich","Partizip II","Konjunktiv II_ich","Imperativ Singular","Imperativ Plural",Hilfsverb
3,3796784,sein,"","",bin,bist,ist,war,gewesen,"wäre",sei,seid,sein
8,1618550,haben,"","",habe,hast,hat,hatte,gehabt,"hätte",habe,habt,haben
10,1379496,einen,"","",eine,einst,eint,einte,geeint,einte,eine,eint,haben
12,948246,werden,"","",werde,wirst,wird,wurde,geworden,"würde",werde,werdet,sein
15,713918,"können","","",kann,kannst,kann,konnte,gekonnt,"könnte","","",haben
15,713918,"können","","",kann,kannst,kann,konnte,gekonnt,"könnte","","",haben
20,556692,meinen,"","",meine,meinst,meint,meinte,gemeint,meinte,meine,meint,haben
23,513384,wollen,"","",will,willst,will,wollte,gewollt,wollte,"","",haben
32,407185,gehen,X,"",gehe,gehst,geht,ging,gegangen,ginge,geh,geht,sein
36,388020,sagen,"","",sage,sagst,sagt,sagte,gesagt,sagte,sag,sagt,haben
37,384113,sehen,"","",sehe,siehst,sieht,sah,gesehen,"sähe",siehe,seht,haben
39,376830,machen,"","",mache,machst,macht,machte,gemacht,machte,mache,macht,haben
43,330438,tun,"",X,tue,tust,tut,tat,getan,"täte",tue,tut,haben
43,330438,tun,"","",tu,tust,tut,tat,getan,"täte",tu,tut,haben
44,317788,kommen,"","",komme,kommst,kommt,kam,gekommen,"käme",komm,kommt,sein
45,280421,geben,"","",gebe,gibst,gibt,gab,gegeben,"gäbe",gib,gebt,haben
59,217839,wissen,"","","weiß","weißt","weiß",wusste,gewusst,"wüsste",wisse,wisset,haben
64,189101,sollen,"","",soll,sollst,soll,sollte,gesollt,sollte,"","",haben
69,181538,denken,"","",denke,denkst,denkt,dachte,gedacht,"dächte",denk,denkt,haben
81,158838,"hören","","","höre","hörst","hört","hörte","gehört","hörte","hör","hört",haben
85,143704,finden,"","",finde,findest,findet,fand,gefunden,"fände",finde,findet,haben
88,141488,glauben,"","",glaube,glaubst,glaubt,glaubte,geglaubt,glaubte,glaub,glaubt,haben
92,138619,leben,"","",lebe,lebst,lebt,lebte,gelebt,lebte,lebe,lebt,haben
93,136863,"mögen","","",mag,magst,mag,mochte,gemocht,"möchte","","",haben
93,136863,"mögen","","",mag,magst,mag,mochte,gemocht,"möchte","","",haben
97,125268,nehmen,"","",nehme,nimmst,nimmt,nahm,genommen,"nähme",nimm,nehmt,haben
98,124528,"müssen","","",muss,musst,muss,musste,gemusst,"müsste","","",haben
105,117720,lassen,"","",lasse,"lässt","lässt","ließ",gelassen,"ließe",lass,lasst,haben
111,106835,warten,"","",warte,wartest,wartet,wartete,gewartet,wartete,warte,wartet,haben
115,100896,verstehen,"","",verstehe,verstehst,versteht,verstand,verstanden,"verstände",verstehe,versteht,haben
115,100896,verstehen,"",X,verstehe,verstehst,versteht,verstand,verstanden,"verstände",verstehe,versteht,haben
117,97391,bringen,"","",bringe,bringst,bringt,brachte,gebracht,"brächte",bring,bringt,haben
123,91927,sichern,"","",sichere,sicherst,sichert,sicherte,gesichert,sicherte,sichere,sichert,haben
124,89964,fragen,"","",frage,fragst,fragt,fragte,gefragt,fragte,frag,fragt,haben
125,89813,kennen,"","",kenne,kennst,kennt,kannte,gekannt,kennte,kenne,kennt,haben
128,87425,helfen,"","",helfe,hilfst,hilft,half,geholfen,"hülfe",hilf,helft,haben
129,87137,reden,"","",rede,redest,redet,redete,geredet,redete,red,redet,haben
133,85406,stehen,X,"",stehe,stehst,steht,stand,gestanden,"stünde",stehe,steht,haben
134,83919,bleiben,"","",bleibe,bleibst,bleibt,blieb,geblieben,bliebe,bleibe,bleibt,sein
137,82184,brauchen,"","",brauche,brauchst,braucht,brauchte,gebraucht,brauchte,brauche,braucht,haben
142,76116,sprechen,"","",spreche,sprichst,spricht,sprach,gesprochen,"spräche",sprich,sprecht,haben
