rank,freq,Wort,Wortart,"Hörbeispiele",Synonyme,"Gegenwörter","Übersetzung",pronunciation_url
1,10094674,ich,Personalpronomen,De-ich.ogg,NYI,NYI,"I, me",https://commons.wikimedia.org/wiki/Special:FilePath/De-ich.ogg
2,5674177,der,Artikel,De-der.ogg,NYI,NYI,the,https://commons.wikimedia.org/wiki/Special:FilePath/De-der.ogg
3,3796784,sein,Hilfsverb,De-sein.ogg,NYI,NYI,"be, exist, be, have, be",https://commons.wikimedia.org/wiki/Special:FilePath/De-sein.ogg
4,3022857,sich,Reflexivpronomen,De-sich.ogg,NYI,NYI,"himself, herself, itself, oneself, themselves, each other, one another",https://commons.wikimedia.org/wiki/Special:FilePath/De-sich.ogg
5,1890181,du,Personalpronomen,De-du.ogg,NYI,NYI,you,https://commons.wikimedia.org/wiki/Special:FilePath/De-du.ogg
6,1734016,nicht,Negationspartikel,De-nicht.ogg,NYI,NYI,not,https://commons.wikimedia.org/wiki/Special:FilePath/De-nicht.ogg
7,1620166,mein,Possessivpronomen,De-mein.ogg,NYI,NYI,my,https://commons.wikimedia.org/wiki/Special:FilePath/De-mein.ogg
8,1618550,haben,Hilfsverb,De-haben.ogg,NYI,NYI,"have, have got",https://commons.wikimedia.org/wiki/Special:FilePath/De-haben.ogg
9,1441012,und,Konjunktion,De-und.ogg,NYI,NYI,and,https://commons.wikimedia.org/wiki/Special:FilePath/De-und.ogg
10,1379496,einen,Artikel,De-einen.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-einen.ogg
11,1072372,was,Pronomen,"De-Was.OGG‎‎",NYI,NYI,"what, something, that, which","https://commons.wikimedia.org/wiki/Special:FilePath/De-Was.OGG‎‎"
12,948246,werden,Hilfsverb,De-werden.ogg,NYI,NYI,"become, get, will, turn",https://commons.wikimedia.org/wiki/Special:FilePath/De-werden.ogg
13,918548,zu,"Präposition","DE-zu.OGG‎",NYI,NYI,"to, at","https://commons.wikimedia.org/wiki/Special:FilePath/DE-zu.OGG‎"
14,793011,in,"Präposition","De-in.ogg‎",NYI,NYI,"in, into, in","https://commons.wikimedia.org/wiki/Special:FilePath/De-in.ogg‎"
15,713918,"können",Verb,"De-können.ogg",NYI,NYI,"can, be able to, be allowed to, may","https://commons.wikimedia.org/wiki/Special:FilePath/De-können.ogg"
16,641744,mit,"Präposition",De-mit.ogg,NYI,NYI,"with, by, against",https://commons.wikimedia.org/wiki/Special:FilePath/De-mit.ogg
17,635186,ja,Antwortpartikel,"CPIDL German - Ja.ogg",NYI,NYI,yes,"https://commons.wikimedia.org/wiki/Special:FilePath/CPIDL German - Ja.ogg"
18,585413,wie,Adverb,De-wie.ogg,NYI,NYI,how,https://commons.wikimedia.org/wiki/Special:FilePath/De-wie.ogg
19,567544,auf,"Präposition",De-auf.ogg,NYI,NYI,"on, onto, at, to, in, into",https://commons.wikimedia.org/wiki/Special:FilePath/De-auf.ogg
20,556692,meinen,Verb,De-meinen2.ogg,NYI,NYI,"think, intend, speak about, mean, signify",https://commons.wikimedia.org/wiki/Special:FilePath/De-meinen2.ogg
21,555016,dass,Subjunktion,De-dass.ogg,NYI,NYI,"that, so, except, instead of",https://commons.wikimedia.org/wiki/Special:FilePath/De-dass.ogg
22,523716,aber,Konjunktion,De-at-aber.ogg,NYI,NYI,but,https://commons.wikimedia.org/wiki/Special:FilePath/De-at-aber.ogg
23,513384,wollen,Verb,De-wollen.ogg,NYI,NYI,"want, wish",https://commons.wikimedia.org/wiki/Special:FilePath/De-wollen.ogg
24,508157,so,Konjunktion,De-so.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-so.ogg
25,501216,gut,Adjektiv,De-gut.ogg,NYI,NYI,"good, well",https://commons.wikimedia.org/wiki/Special:FilePath/De-gut.ogg
26,483819,hier,Adverb,De-hier.ogg,NYI,NYI,here,https://commons.wikimedia.org/wiki/Special:FilePath/De-hier.ogg
27,461926,"für","Präposition","de-für.ogg",NYI,NYI,for,"https://commons.wikimedia.org/wiki/Special:FilePath/de-für.ogg"
28,457616,von,"Präposition",De-von.ogg,NYI,NYI,"from, about, of",https://commons.wikimedia.org/wiki/Special:FilePath/De-von.ogg
29,438665,wenn,Subjunktion,"De-wenn.ogg‎‎",NYI,NYI,"when, as soon as, whenever, if, as if, as though, although","https://commons.wikimedia.org/wiki/Special:FilePath/De-wenn.ogg‎‎"
30,419570,kein,Indefinitpronomen,De-kein.ogg,NYI,NYI,"no, none, nobody",https://commons.wikimedia.org/wiki/Special:FilePath/De-kein.ogg
31,407548,dies,Pronomen,De-dieser.ogg,NYI,NYI,this,https://commons.wikimedia.org/wiki/Special:FilePath/De-dieser.ogg
32,407185,gehen,Verb,De-gehen.ogg,NYI,NYI,"walk, go, leave, work, operable, sell, extend, reach, last, go on, prove, tolerable, practicable, do, be on",https://commons.wikimedia.org/wiki/Special:FilePath/De-gehen.ogg
33,406611,habe,"Konjugierte Form",De-habe.ogg,NYI,NYI,"",https://commons.wikimedia.org/wiki/Special:FilePath/De-habe.ogg
34,404910,nein,Antwortpartikel,De-nein.ogg,NYI,NYI,"no, nope, nay",https://commons.wikimedia.org/wiki/Special:FilePath/De-nein.ogg
35,399003,an,"Präposition",De-an.ogg,NYI,NYI,"to, on",https://commons.wikimedia.org/wiki/Special:FilePath/De-an.ogg
36,388020,sagen,Verb,De-sagen.ogg,NYI,NYI,"say, tell",https://commons.wikimedia.org/wiki/Special:FilePath/De-sagen.ogg
37,384113,sehen,Verb,De-sehen.ogg,NYI,NYI,"say, see, look, see, view",https://commons.wikimedia.org/wiki/Special:FilePath/De-sehen.ogg
38,380672,ein,Artikel,De-ein.ogg,NYI,NYI,"a, an",https://commons.wikimedia.org/wiki/Special:FilePath/De-ein.ogg
39,376830,machen,Verb,De-machen.ogg,NYI,NYI,"make, do, put, go",https://commons.wikimedia.org/wiki/Special:FilePath/De-machen.ogg
40,358787,noch,Adverb,De-noch.ogg,NYI,NYI,"still, yet, nor",https://commons.wikimedia.org/wiki/Special:FilePath/De-noch.ogg
41,356437,da,Adverb,De-da.ogg,NYI,NYI,"there, here, moment|at that moment, then, so, condition|on that condition, circumstance|under these circumstances, case|in this case, regard|in that/this regard, respect|in this respect, in respect thereof",https://commons.wikimedia.org/wiki/Special:FilePath/De-da.ogg
42,352269,nur,Fokuspartikel,De-at-nur.ogg,NYI,NYI,"only, just",https://commons.wikimedia.org/wiki/Special:FilePath/De-at-nur.ogg
43,330438,tun,Verb,De-tun.ogg,NYI,NYI,"do, put, act",https://commons.wikimedia.org/wiki/Special:FilePath/De-tun.ogg
